0,6.44068
1,6.44068
2,6.44068
3,6.44068
4,6.44068
5,6.44068
6,6.44068
7,6.44068
8,6.30139
9,6.30139
10,6.30139
11,6.23482
12,6.23482
13,6.23482
14,6.23482
15,6.23482
16,6.05647
17,6.05647
18,6.05647
19,6.05647
20,5.85054
21,5.76768
22,5.76768
23,5.76768
24,5.76768
25,5.76768
26,5.76768
27,5.76768
28,5.76768
29,5.76538
30,5.70218
31,5.70218
32,5.70218
33,5.68481
34,5.64888
35,5.64675
36,5.63799
37,5.63799
38,5.63799
39,5.63799
40,5.63799
41,5.63799
42,5.63799
43,5.63799
44,5.63378
45,5.63378
46,5.63378
47,5.63378
48,5.62573
49,5.62573
50,5.62462
51,5.62264
52,5.62264
53,5.62264
54,5.62056
55,5.62056
56,5.61922
57,5.6184
58,5.61738
59,5.61738
60,5.61738
61,5.6173
62,5.61592
63,5.61546
64,5.61546
65,5.6152
66,5.61455
67,5.61455
68,5.61297
69,5.61297
70,5.61297
71,5.61277
72,5.6127
73,5.61248
74,5.61248
75,5.61248
76,5.61248
77,5.61248
78,5.61244
79,5.61244
80,5.61244
81,5.61244
82,5.61244
83,5.61244
84,5.61244
85,5.61244
86,5.61244
87,5.61177
88,5.61177
89,5.61177
90,5.61177
91,5.61177
92,5.61176
93,5.61176
94,5.61176
95,5.61176
96,5.61171
97,5.61171
98,5.61171
99,5.61169
