5805141,683499,0
5805141,683499,40.69594
5805141,683499,81.39189
5805141,683499,122.0878
5805141,683499,162.7838
5805141,683499,203.4797
5805141,683499,244.1757
5805141,683499,284.8716
5805141,683499,325.5675
5805141,683499,366.2635
5805141,683499,366.2635
5805141,683499,379.2362
5805140,683499.1,392.1991
5805139,683499.3,405.1423
5805138,683499.5,418.056
5805137,683499.8,430.9302
5805135,683500.1,443.7553
5805132,683500.5,456.5214
5805130,683501,469.2189
5805127,683501.5,481.8382
5805123,683502.1,494.3696
5805120,683502.7,506.8035
5805116,683503.4,519.1307
5805112,683504.2,531.3415
5805107,683505,543.4269
5805102,683505.9,555.3776
5805097,683506.8,567.1844
5805091,683507.8,578.8386
5805085,683508.9,590.331
5805079,683510,601.6532
5805079,683510,601.6532
5805060,683513.3,634.8028
5805041,683516.6,667.9525
5805022,683519.9,701.1021
5805003,683523.3,734.2518
5804985,683526.6,767.4014
5804966,683529.9,800.5511
5804947,683533.2,833.7007
5804928,683536.6,866.8504
5804909,683539.9,900
5804909,683539.9,900
5804894,683542.2,926.7553
5804878,683543.6,953.4221
5804862,683544.1,979.9777
5804846,683543.8,1006.4
5804830,683542.6,1032.665
5804813,683540.5,1058.752
5804797,683537.6,1084.639
5804780,683533.8,1110.303
5804763,683529.2,1135.722
5804746,683523.7,1160.876
5804728,683517.4,1185.742
5804711,683510.3,1210.299
5804693,683502.3,1234.527
5804676,683493.5,1258.405
5804658,683483.8,1281.912
5804640,683473.4,1305.03
5804623,683462.1,1327.737
5804605,683450.1,1350.015
5804587,683437.3,1371.845
5804587,683437.3,1371.845
5804530,683394.6,1441.64
5804472,683351.9,1511.435
5804415,683309.2,1581.23
5804357,683266.5,1651.025
5804300,683223.8,1720.82
5804242,683181.1,1790.615
5804185,683138.4,1860.41
5804127,683095.7,1930.205
5804070,683053,2000
5804070,683053,2000
5804056,683042.5,2017.171
5804042,683032,2034.456
5804028,683021.4,2051.854
5804015,683010.9,2069.364
5804001,683000.2,2086.986
5803988,682989.6,2104.717
5803975,682978.9,2122.556
5803962,682968.2,2140.503
5803950,682957.5,2158.555
5803937,682946.7,2176.712
5803925,682936,2194.973
5803913,682925.1,2213.335
5803901,682914.3,2231.799
5803889,682903.5,2250.362
5803878,682892.6,2269.023
5803866,682881.7,2287.781
5803855,682870.7,2306.635
5803844,682859.8,2325.583
5803833,682848.8,2344.624
5803833,682848.8,2344.624
5803817,682832.5,2372.999
5803801,682816.2,2401.374
5803785,682799.9,2429.749
5803769,682783.6,2458.124
5803753,682767.2,2486.499
5803737,682750.9,2514.875
5803721,682734.6,2543.25
5803705,682718.3,2571.625
5803689,682702,2600
5803689,682702,2600
5803687,682700.3,2602.934
5803686,682698.5,2605.859
5803684,682696.8,2608.775
5803682,682695,2611.682
5803681,682693.2,2614.579
5803679,682691.3,2617.466
5803678,682689.4,2620.344
5803676,682687.5,2623.211
5803675,682685.6,2626.068
5803675,682685.6,2626.068
5803673,682683.5,2629.078
5803671,682681.5,2632.089
5803670,682679.4,2635.099
5803668,682677.3,2638.109
5803667,682675.3,2641.119
5803665,682673.2,2644.129
5803663,682671.1,2647.14
5803662,682669.1,2650.15
5803660,682667,2653.16
5803659,682665,2656.17
5803657,682662.9,2659.181
5803655,682660.8,2662.191
5803654,682658.8,2665.201
5803652,682656.7,2668.211
5803651,682654.7,2671.222
5803649,682652.6,2674.232
5803647,682650.5,2677.242
5803646,682648.5,2680.252
5803644,682646.4,2683.263
5803643,682644.3,2686.273
5803641,682642.3,2689.283
5803639,682640.2,2692.293
5803638,682638.2,2695.304
5803636,682636.1,2698.314
5803635,682634,2701.324
5803633,682632,2704.334
5803631,682629.9,2707.345
5803630,682627.9,2710.355
5803628,682625.8,2713.365
5803627,682623.7,2716.375
5803625,682621.7,2719.386
5803623,682619.6,2722.396
5803622,682617.6,2725.406
5803620,682615.5,2728.416
5803619,682613.4,2731.426
5803617,682611.4,2734.437
5803615,682609.3,2737.447
5803614,682607.2,2740.457
5803612,682605.2,2743.467
5803611,682603.1,2746.478
5803609,682601.1,2749.488
5803607,682599,2752.498
5803606,682596.9,2755.508
5803604,682594.9,2758.519
5803603,682592.8,2761.529
5803601,682590.8,2764.539
5803599,682588.7,2767.549
5803598,682586.6,2770.56
5803596,682584.6,2773.57
5803595,682582.5,2776.58
5803593,682580.5,2779.59
5803591,682578.4,2782.601
5803590,682576.3,2785.611
5803588,682574.3,2788.621
5803587,682572.2,2791.631
5803585,682570.1,2794.642
5803583,682568.1,2797.652
5803582,682566,2800.662
5803580,682564,2803.672
5803579,682561.9,2806.683
5803577,682559.8,2809.693
5803575,682557.8,2812.703
5803574,682555.7,2815.713
5803572,682553.7,2818.723
5803571,682551.6,2821.734
5803569,682549.5,2824.744
5803567,682547.5,2827.754
5803566,682545.4,2830.764
5803564,682543.3,2833.775
5803563,682541.3,2836.785
5803561,682539.2,2839.795
5803559,682537.2,2842.805
5803558,682535.1,2845.816
5803556,682533,2848.826
5803555,682531,2851.836
5803553,682528.9,2854.846
5803551,682526.9,2857.857
5803550,682524.8,2860.867
5803548,682522.7,2863.877
5803547,682520.7,2866.887
5803545,682518.6,2869.898
5803543,682516.6,2872.908
5803542,682514.5,2875.918
5803540,682512.4,2878.928
5803539,682510.4,2881.939
5803537,682508.3,2884.949
5803535,682506.2,2887.959
5803534,682504.2,2890.969
5803532,682502.1,2893.98
5803531,682500.1,2896.99
5803529,682498,2900
